785665	190995
785665	190996
785665	190997
785665	190998
785665	190999
785665	191000
785665	191001
785665	191002
785665	191003
785665	191004
785666	190995
785666	190996
785666	190997
785666	190998
785666	190999
785666	191000
785666	191001
785666	191002
785666	191003
785666	191004
785667	190995
785667	190996
785667	190997
785667	190998
785667	190999
785667	191000
785667	191001
785667	191002
785667	191003
785667	191004
785668	190995
785668	190996
785668	190997
785668	190998
785668	190999
785668	191000
785668	191001
785668	191002
785668	191003
785668	191004
785669	190995
785669	190996
785669	190997
785669	190998
785669	190999
785669	191000
785669	191001
785669	191002
785669	191003
785669	191004
785670	190995
785670	190996
785670	190997
785670	190998
785670	190999
785670	191000
785670	191001
785670	191002
785670	191003
785670	191004
785671	190995
785671	190996
785671	190997
785671	190998
785671	190999
785671	191000
785671	191001
785671	191002
785671	191003
785671	191004
785672	190995
785672	190996
785672	190997
785672	190998
785672	190999
785672	191000
785672	191001
785672	191002
785672	191003
785672	191004
785673	190995
785673	190996
785673	190997
785673	190998
785673	190999
785673	191000
785673	191001
785673	191002
785673	191003
785673	191004
785674	190995
785674	190996
785674	190997
785674	190998
785674	190999
785674	191000
785674	191001
785674	191002
785674	191003
785674	191004
